id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
66,Ban Kluai Solar Power Plant,Solar,Operational,7.4,,Thailand; Japan,"Gunkul Chubu Powergen Company Limited (Thailand, Japan)",,,,,Thailand,Phetchabun,Chon Daen,Nan,16.0488,100.7428,,9869.042,World Resources Institute,http://www.gunkul.com,,
67,Ban Koum,Hydro,Planned,1872.0,,Thailand; Laos,Italian Thai and Asian Corp Holdings Limited (Thailand),,,,,Thailand,Ubon Ratchathani,Khong Chiam,Mekong Mainstream - Lower,15.41788,105.5874,,,"Ministry of Energy and Mines, Lao PDR","Signed MOU 25/3/2008, passed on 25/09/2010 first time, passed 25/09/2011",,
68,Ban Krut Power Plant,Gas,Unknown,1400.0,,"Thailand; Japan; Hong Kong, China",Union Power Development Co. Ltd. (Thailand); Tomen Co. (Japan); Toyota Tsusho (Japan); Shubu Electric (Japan); Hong Kong Electric,,,,,Thailand,Rayong,Ban Khai,Coastal Rivers Rayong Chon Buri,12.84734,101.3997,"Actual location unknown, currently sited at locality in link/announcement",,Greenpeace,https://www.greenpeace.org/archive-seasia/ph/PageFiles/106311/rpt_ce_edison.pdf,,
69,Ban Ra,Hydro,Operational,18.0,2012.0,Vietnam,Dong Bac. EL JSC,,,,,Vietnam,Cao Bằng,Trùng Khánh,Pearl,22.859,106.6998,,70000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/th-y-di-n-b-n-r,,
70,Ban Santi,Hydro,Operational,1.28,1981.0,Thailand,EGAT (Thailand),,,,,Thailand,Yala,Bannang Star,Pattani,6.141788,101.2937,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,https://books.google.com/books?id=Q7YL5MkwRmEC&pg=PA181&lpg=PA181&dq=pattani+dam+and+ban+santi&source=bl&ots=KrgIJqUqVX&sig=ACfU3U3vz9GmV37AtuRdQ110LjyU6meqCg&hl=en&sa=X&ved=2ahUKEwias-rUz7XlAhWBmuAKHeL8CLIQ6AEwAXoECAkQAQ; https://www.egat.co.th/en/susta,,
71,Ban Ve (Thủy điện Bản Vẽ),Hydro,Operational,320.0,2010.0,Vietnam,EVN (Vietnam),,,Vietnam,Song Da Construction Corp.,Vietnam,Nghệ An,Tương Dương,Song Ca,19.34111,104.4875,,,Wikipedia,https://www.power-technology.com/projects/ban-ve-Hydro/; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
72,Ban Yang Dam,Hydro,Operational,0.13,1972.0,Thailand,EGAT (Thailand),,,,,Thailand,Chiang Mai,Mae Chaem,Chao Phraya-Ping,18.56751,98.44185,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,https://www.egat.co.th/en/sustainable-development/royally-initiated-development-projects,,
73,Bang Ban Solar Power Plant,Solar,Operational,7.0,,Thailand,"Bangkok Solar Power Company, Ltd.",,,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Ban,Chao Phraya-Ping,14.4418,100.481,,9335.58,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project,,
74,Bang Bo,Gas,Operational,350.0,2000.0,Thailand,Eastern Power and Electric Company,,,,,Thailand,Samut Prakan,Bang Bo,Chao Phraya-Ping,13.492,100.8416,,1432922,GEODB,http://www.alstom.com/press-centre/2013/1/alstom-will-service-and-upgrade-bang-bo-gas-fired-power-plant-in-thailand/,,
75,Bang Lang Dam,Hydro,Operational,76.0,1981.0,Thailand,EGAT (Thailand),,,,,Thailand,Yala,Bannang Star,Pattani,6.1555,101.273,,,Wikipedia,,,
76,Bang Pakong,Gas,Operational,4384.0,,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Chachoengsao,Bang Pakong,Chao Phraya-Ping,13.501,101.0253,,17948380,GEODB,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=118,,
77,Bang Pakong Power Plant,Gas,Operational,2490.0,1985.0,Thailand,EGAT (Thailand),,,,,Thailand,Chachoengsao,Bang Pakong,Chao Phraya-Ping,13.50143,101.025,,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=37,,
78,Bang Sai Solar Power Plant,Solar,Operational,1.7,,Thailand,"Bangkok Solar Power Company, Ltd.",,,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,Chao Phraya-Ping,14.3215,100.3025,,2267.212,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project,,
79,Bang Wou Power Plant,Biomass,Unknown,3.0,1987.0,Thailand,"Advance Power Conversion Co., Ltd.",,,,,Thailand,Suphan Buri,Muang Suphanburi,Tha Chin,14.55819,100.0074,"Actual location unknown, currently sited at locality in link/announcement",,Advance Power Conversion Co.,Rice husk,http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,
80,Bangchak Solar Power Plant,Solar,Operational,16.0,,Thailand,"Bangchak Solar Energy Company, Ltd.",,,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,Chao Phraya-Ping,14.1691,100.5528,,21338.47,World Resources Institute,http://www.bangchak.co.th,,
81,Bangchak Solar Power Project,Solar,Operational,44.5,2013.0,Thailand,"SOLARCO COMPANY LIMITED (Thailand), Yanhee EGCO Holding (Thailand)",ADB,ADB,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,Chao Phraya-Ping,14.16649,100.5533,,,ADB,https://www.adb.org/projects/46934-014/main#project-pds,,
82,Bangkok Hsfc Plant 2R,Coal,Operational,36.0,2000.0,Thailand,Hiang Seng Fibre Container Co (Thailand),,,,,Thailand,Phra Nakhon Si Ayutthaya,Nakhon Luang,Pasak,14.4,100.5833,,,Global Energy Monitor,http://enipedia.tudelft.nl/wiki/Bangkok_Hsfc_Plant_Powerplant,,
83,Bangkok Kamphaeng Saen East,Waste,Unknown,8.0,,Thailand,"Bangkok Greenpower Co., Ltd.",United Kingdom,Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK),,,Thailand,Nakhon Pathom,Kamphaeng Saen,Tha Chin,14.06406,99.94749,,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/SGS-UKL1267631662.24/view,
84,Bangkok Kamphaeng Saen West,Waste,Unknown,8.0,,Thailand,Progress Energy Co. Ltd,Thailand; United Kingdom,Zenith Green Energy Co. Ltd. (Thailand); Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK),,,Thailand,Nakhon Pathom,Kamphaeng Saen,Tha Chin,14.05628,99.93474,,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/SGS-UKL1268326008.88/view,
85,Bangna Starch Wastewater Treatment,Waste,Unknown,2.85,,Thailand,P & Papop Renewable Co. Ltd.,,,Switzerland,South Pole Carbon Asset Management ltd.,Thailand,Kalasin,Yang Talat,Mun-Chi,16.38548,103.4726,,,UNFCCC,Biogas from wastewater from tapioca starch,https://cdm.unfccc.int/Projects/DB/RWTUV1241593452.75/view,
86,Bangpakong Power Plant,Biomass,Unknown,10.4,1991.0,Thailand,"Advance Power Conversion Co., Ltd.",,,,,Thailand,Chachoengsao,Sanam Chaikhet,Chao Phraya-Ping,13.63094,101.4289,"Actual location unknown, currently sited at locality in link/announcement",,Advance Power Conversion Co.,"Rice husk, eucalyptus bark and wood chips",http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,
87,Bangsapan-noi Biomass Company Limited Biomass Generation,Biomass,Unknown,8.0,2009.0,Thailand,TPC Power Holding PLC,,,,,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,Coastal Rivers Prachuap Khiri Khan-Chumphon,11.06171,99.43132,"Actual location unknown, currently sited at locality in link/announcement",,TPC Power Holding PLC website,Palm by-products,http://www.tpcpower.co.th/our-business/bio?lang=en#; http://tpch.listedcompany.com/misc/ShareholderMTG/egm201701/20170914-tpch-egm201701-enc02-en.pdf,
88,Banteay Meanchey Solar Plant,Solar,Under Construction,30.0,2022.0,Thailand,Ray Power Supply Co. Ltd.,,,,,Cambodia,Banteay Meanchey,Preah Netr Preah,Steng Mongkol Borei-Battambang,13.6313498042694,103.106274810679,"Actual location unknown, currently sited at locality in link/announcement",,The Phnom Penh Post,https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/, https://www.phnompenhpost.com/national/banteay-meanchey-solar-energy-project-awarded,12/28/2020
89,Battambang 60 MW Solar,Solar,Under Construction,60.0,2020.0,China,Risen Energy,Germany; EU; France,"Deutsche Investitions- und Entwicklungsgesellschaft, European Investmtn Bank, French Development Agency",,,Cambodia,Battambang,Sangkae,Steng Mongkol Borei-Battambang,13.0569414258393,103.230718319644,"Actual location unknown, currently sited at locality in link/announcement",,Online,https://www.pv-magazine.com/2019/07/15/cambodia-approves-four-pv-projects-totaling-140-mw/; https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/; https://www.phnompenhpost.com/business/china-firm-backs-battambang-solar-farm; https://www.khmertimeskh.com/50726630/listed-chinese-firm-licensed-to-build-another-solar-park/,https://www.akp.gov.kh/post/detail/13129,12/28/2020
90,Bau Ngu (Điện mặt trời Bàu Ngứ),Solar,Under Construction,50.0,2019.0,Vietnam,Công ty CP Đầu tư xây dựng và phát triển Trường Thành (Vietnam),,,,,Vietnam,Ninh Thuận,Thuận Nam,Song Cai Phan Rang,11.47129,108.9623,,100000,Wikipedia,http://nangluongvietnam.vn/news/vn/dien-hat-nhan-nang-luong-tai-tao/nha-may-dien-mat-troi-bau-ngu-hoa-luoi-dien-quoc-gia.html,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_B%C3%A0u_Ng%E1%BB%A9,
91,Bau Zon (Điện mặt trời Bàu Zôn),Solar,Under Construction,25.0,2020.0,Vietnam,Công ty Cổ phần Bắc Phương và Công ty TNHH năng lượng mặt trời TT.Sunglim (Vietnam),Vietnam,Vietcombank (Vietnam),,,Vietnam,Ninh Thuận,Ninh Phước,Song Cai Phan Rang,11.51685,108.8873,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,http://nangluongvietnam.vn/news/vn/dien-hat-nhan-nang-luong-tai-tao/ky-hop-dong-tong-thau-du-an-nha-may-dien-mat-troi-bau-zon.html,http://tintuc.wecvietnam.org/ky-hop-dong-tong-thau-du-an-nha-may-dien-mat-troi-bau-zon/,
92,Bavet City Solar PV Plant,Solar,Operational,10.0,2017.0,Singapore; Cambodia,"Sunseap (Asset) Cambodia Co. Ltd, majority-owned subsidiary of Sunseap Group (Singapore)",ADB,ADB,,,Cambodia,Svay Rieng,Svay Teab,Song Vam Co Dong,11.07234,106.0598,,,IUCN,https://ppi.worldbank.org/snapshots/project/Svay-Rieng-PV-Solar-Farm-9096; https://www.khmertimeskh.com/5079197/solar-power-set-shine-bavet/; https://www.khmertimeskh.com/50556400/total-goes-solar/; https://d2oc0ihd6a5bt.clo,,
93,Bawgata,Hydro,Planned,160.0,2020.0,Myanmar,Thoolei Co. (Myanmar),,,Myanmar,Thoolei (Myanmar),Myanmar,Bago,Taungoo,Sittaung Mainstem,18.25556,96.8485,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,,
94,BCG Bang Duong (Nhà máy điện mặt trời Băng Dương),Solar,Planned,40.6,2019.0,Vietnam,"Bamboo Capital Group BCG (Tập đoàn Bamboo Capital) and Bang Duong Construction Co. Ltd. (Công ty TNHH Xây dựng Băng Dương - EPC), through BCG Bang Duong JSC",Vietnam,Tien Phong Bank,Vietnam; Germany,"TRACODI (Công Ty cổ phân Đầu tư Phát triển Công Nghiệp và Vận tải), Syntegra Solar (Germany) (Design consultant and supervisory consultant)",Vietnam,Long An,Thạnh Hóa,Song Vam Ca Tay,10.59054,106.1456,,60000,Sponsor Website,http://baolongan.vn/long-an-dong-tho-du-an-nha-may-dien-mat-troi-dau-tien-cong-suat-40-6mw-a62841.html,,
95,Belin,Hydro,Planned,280.0,2021.0,Myanmar,Ministry of Electricity & Energy,,,Myanmar,Ministry of Electricity & Energy,Myanmar,Mon,Thaton,Bilin,17.2108871204109,97.2491075365269,"Actual location unknown, currently sited at locality in link/announcement",,Boston University,http://documents1.worldbank.org/curated/en/857971548867615099/pdf/134197-WP-MM-V2-SEA-Baseline-Assessment-Hydropower-PUBLIC.pdf,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03/31/2021
96,"Ben Tre Nexif stage 1, 2, 3 (nhà máy Điện Gió Bến Tre Nexif Energy)",Wind,Under Construction,80.0,2020.0,Singapore,Nexif Energy (Singapore),,,,,Vietnam,Bến Tre,Thạnh Phú,Vietnam Mekong Delta,9.87373,106.6484,"Actual location unknown, currently sited at locality in link/announcement",250000,Stimson database,http://www.nexifenergy.com/press_release/nexif-energy-receives-approval-build-80-mw-wind-power-project-vietnam/,,
97,Bhumibol Dam,Hydro,Operational,779.0,1964.0,Thailand,EGAT (Thailand),,,Thailand,Yanhee Electricity Authority,Thailand,Tak,Sam Ngao,Chao Phraya-Ping,17.2425,98.97222,,,Wikipedia,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=50; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
98,BIA Co. Lted.,Waste,Unknown,1.4,,Cambodia,Soma Energy,,,,,Cambodia,Battambang,Kamrieng,Steng Mongkol Borei-Battambang,13.091215,102.449212,"Actual location unknown, currently sited at locality in link/announcement",,Soma Energy,,https://somaenergy.com.kh/projects/,12/21/2020
99,Big C roof-top solar,Solar,Under Construction,16.0,2019.0,Japan,Sharp Corp (Japan),,,,,Thailand,Nakhon Ratchasima,Muang Nakhon Ratchasima,Mun-Chi,14.94473,102.0496,"Actual location unknown, currently sited at locality in link/announcement",,Stimson renewable energy database,http://www.sharp-world.com/corporate/news/170622.html,,
100,BIM 1 (Nhà máy điện mặt trời BIM 1),Solar,Operational,30.0,2019.0,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France; Germany,"Bouygues Energies & Services, Juwi",Vietnam,Ninh Thuận,Thuận Nam,Coastal Tributaries Binh Thuan,11.443363,108.898254,,545000,Media,https://tuoitre.vn/ninh-thuan-co-them-3-nha-may-dien-mat-troi-20190427143351131.htm; https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12/21/2020
101,BIM 2 (Nhà máy điện mặt tròi BIM 2),Solar,Operational,250.0,2019.0,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France,Bouygues Energies & Services,Vietnam,Ninh Thuận,Thuận Nam,Coastal Tributaries Binh Thuan,11.443363,108.898254,,600000,Media,https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12/21/2020
102,BIM 3 (Nhà máy điện mặt trời BIM 3),Solar,Operational,50.0,2019.0,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France; Germany,"Bouygues Energies & Services, Juwi",Vietnam,Ninh Thuận,Thuận Nam,Coastal Tributaries Binh Thuan,11.443363,108.898254,,,Media,https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12/21/2020
103,Binh An (Nhà máy điện mặt trời Bình An) 58.88 ha - completed in 3 stages,Solar,Operational,50.0,2019.0,Vietnam,CT TNHH Năng Lượng Everich Bình Thuận,,,,,Vietnam,Bình Thuận,Bắc Bình,Song Luy,11.30904,108.4286,,,Sponsor Website,,,
104,Binh Dai 1 (Nhà máy điện gió Bình Đại giai đoạn 1),Wind,Under Construction,30.0,2017.0,,"Mekong Wind Power JSC, a TTC Affiliate (Vietnam)",,,,,Vietnam,Bến Tre,Bình Đại,Vietnam Mekong Delta,10.13529,106.7779,,84000,Stimson database,http://vietnamnews.vn/economy/418431/work-on-66m-wind-power-plant-starts-in-ben-tre.html#SIDY7KelqjWFGKwA.97,,
105,Binh Dai 2 (Nhà máy điện gió Bình Đại giai đoạn 2),Wind,Planned,280.0,2020.0,,"Mekong Wind Power JSC, a TTC Affiliate",,,,,Vietnam,Bến Tre,Bình Đại,Vietnam Mekong Delta,10.13529,106.7779,,,Sponsor Website,https://www.nhandan.com.vn/kinhte/item/34847702-khoi-xay-nha-may-dien-gio-gan-1-500-ty-dong-tai-ben-tre.html,,
106,Binh Dien,Hydro,Operational,44.0,2009.0,Vietnam,EVN (Vietnam); Binh Dien Hydropower JSC,,,,,Vietnam,Thừa Thiên Huế,Hương Trà,Song Trach,16.3175,107.5022,,,Wikipedia,http://www.hec.com.vn/contents/projects-construction-supervision/binh-dien-Hydropower-project.html; https://data.opendevelopmentmekong.net/vi/library_record/binh-dien-Hydropower,,
107,Binh Dinh (Nhà máy nhiệt điện Bình Định),Coal,Cancelled,1200.0,2016.0,Thailand,Electricity Generating Authority of Thailand - EGAT International (Thailand),,,,,Vietnam,Bình Định,Qui Nhơn,Coastal Tributaries Binh Dinh-Phu Yen,13.76902,109.2272,"Actual location unknown, currently sited at locality in link/announcement",,Sourcewatch,,,
108,Binh Dinh 2 (Nhà máy nhiệt điện Bình Định 2),Coal,Cancelled,1200.0,2016.0,Thailand,Electricity Generating Authority of Thailand - EGAT International (Thailand),,,,,Vietnam,Bình Định,Qui Nhơn,Coastal Tributaries Binh Dinh-Phu Yen,13.76902,109.2272,"Actual location unknown, currently sited at locality in link/announcement",,Sourcewatch,,,
109,Binh Nguyen (Điện mặt trời Bình Nguyên),Solar,Operational,50.0,2019.0,Thailand; Vietnam,"Tập đoàn Trường Thành Việt Nam, (Vietnam), Tập đoàn Sermsang (Thailand)",,,,,Vietnam,Quảng Ngãi,Bình Sơn,Vietnam Coastal Rivers Quang Nam,15.33337,108.7098,,77000,Wikipedia,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_B%C3%ACnh_Nguy%C3%AAn,http://quangngai.online/tin-quang-ngai/khoi-cong-nha-may-dien-nang-luong-mat-troi-tai-quang-ngai-23.html,
110,"Bio-Mass Power Co., Ltd.",Biomass,Unknown,5.0,,Thailand,"Bio-Mass Power Co., Ltd.",,,,,Thailand,Chachoengsao,Sanam Chaikhet,Chao Phraya-Ping,13.63094,101.4289,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,Rice husk,http://www.egat.co.th/en/images/statistics/2556/eng-private-power-plant-dec56.pdf,
111,Biogas from Ethanol Wastewater,Waste,Unknown,1.24,2013.0,Thailand,"Bio Natural Energy Co., Ltd.",,,Japan,EX Corporation,Thailand,Si Sa Ket,Khun Han,Mun-Chi,14.55128,104.4823,,,UNFCCC,Biogas from ethanol wastewater,https://cdm.unfccc.int/Projects/DB/JQA1264982915.42/view,
112,Biogas from Wastewarer Management by Palm Power Green Co. Ltd.,Waste,Unknown,3.3,,Thailand,Palm Power Green Co. Ltd. (A.S.T. Palm Oil Co. Ltd.),,,,,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,Coastal Rivers Prachuap Khiri Khan-Chumphon,11.01115,99.39584,,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1356799210.55/view,
113,Biogas production from waste water of tapioca starch plant,Waste,Unknown,6.24,,Thailand,Thai Nam Tapioca Co. Ltd.,,,,,Thailand,Udon Thani,Muang Udon Thani,Huai Luang,17.38885,102.6246,,,UNFCCC,Biogas from wastewater from tapioca starch,https://cdm.unfccc.int/Projects/DB/SIRIM1270973187.27/view,
114,Biomass based Power Project,Biomass,Unknown,9.8,2012.0,Thailand; Germany,Evergreen Plus Co. Ltd.; RWE Power Aktiengesellschaft,,,,,Thailand,Lop Buri,Phatthana Nikhom,Pasak,14.8238,101.0733,,,UNFCCC,Woodchip and bark,https://cdm.unfccc.int/Projects/DB/RWTUV1353663131.54/view,
115,"Biomass Power Project of Gia Lai Cane Sugar and Thermoelectricity Joint
Stock Company (Nhà máy nhiệt điện Ayun Pa)",Biomass,Operational,12.0,2013.0,Vietnam,"Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company (SEC), Investment and Trade Consultancy Company Limited (ITRACO)",Sweden; Finland,NeCF; funded by a consortium of European agencies; led by the Nordic Environment Finance Corporation (NEFCO) - a PPP,,,Vietnam,Gia Lai,Ayun Pa,Ia Ayun-La Khe-Ea Yao,13.42629,108.4214,,64800,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
116,Bionersis Project Thailand 1,Waste,Unknown,2.0,,Thailand,Bionersis  Ltd.,France,Bionersis S.A.,,,Thailand,Nakhon Pathom,Kamphaeng Saen,Tha Chin,14.0601,99.967,,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/SGS-UKL1239808133.76/view,
117,BLCP Power Ltd Rayong Banpu Gas Power Ltd,Coal,Unknown,673.25,2006.0,,,,,,,Thailand,Rayong,Muang Rayong,Coastal Rivers Rayong Chon Buri,12.69244,101.1761,"Actual location unknown, currently sited at locality in link/announcement",,,,,
118,Blue Dot Wind Power Project,Wind,Planned,80.0,,Singapore,The Blue Circle Pte Ltd,,,,,Cambodia,Kampot,Tuek Chhou,Coastal Rivers Kampot-Sihanoukville,10.7798613615648,104.059408111879,"Actual location unknown, currently sited at locality in link/announcement",22500,The Phnom Penh Post,https://construction-property.com/planned-kampot-wind-farm-to-be-cambodias-first/,https://www.phnompenhpost.com/business/wind-power-horizon,03/29/2021
